[Sample Definition]	
Type	Time
Use Buffer	FALSE
delta	0.0000000025
start	-0.0000010250
nsample	1620.0000000000
nframes	1.000000
nAnalog	4.000000
nDigitalSets	0.000000
ChScale A 	1.000000
ChOffset A 	0.000000
ChScale B 	1.000000
ChOffset B 	0.000000
ChScale C 	1.000000
ChOffset C 	0.000000
ChScale D 	1.000000
ChOffset D 	0.000000
TriggerTime	46106.249316556	3/24/2026 9:59:00 AM
[Data]
Time	Chan A	Chan B	Chan C	Chan D
-0.0000007650 	 0.0068502226 	 -0.0182274207 	 0.0072559211 	 0.1238887236
-0.0000007625 	 0.0066408156 	 -0.0169685502 	 0.0103435479 	 0.1208030805
-0.0000007600 	 0.0071643326 	 -0.0142409932 	 0.0082851313 	 0.1249172762
-0.0000007575 	 0.0066408156 	 -0.0114085302 	 0.0093143396 	 0.1197745278
-0.0000007550 	 0.0066408156 	 -0.0085760672 	 0.0093143396 	 0.1238887236
-0.0000007525 	 0.0067455191 	 -0.0056386990 	 0.0072559211 	 0.1238887236
-0.0000007500 	 0.0069549256 	 -0.0032258600 	 0.0082851313 	 0.1300600320
-0.0000007475 	 0.0070596291 	 -0.0000786795 	 0.0041682944 	 0.1259458363
-0.0000007450 	 0.0072690360 	 0.0018096289 	 0.0062267128 	 0.1331456751
-0.0000007425 	 0.0063267052 	 0.0038028434 	 0.0021098778 	 0.1310885847
-0.0000007400 	 0.0065361122 	 0.0056911521 	 0.0113727581 	 0.1372598708
-0.0000007375 	 0.0073737400 	 0.0074745538 	 0.0082851313 	 0.1321171373
-0.0000007350 	 0.0077925529 	 0.0078941779 	 0.0103435479 	 0.1290314794
-0.0000007325 	 0.0070596291 	 0.0084187081 	 0.0072559211 	 0.1269743890
-0.0000007300 	 0.0072690360 	 0.0091530504 	 0.0103435479 	 0.1249172762
-0.0000007275 	 0.0064314087 	 0.0079990840 	 0.0062267128 	 0.1300600320
-0.0000007250 	 0.0066408156 	 0.0092579564 	 0.0051975045 	 0.1218316332
-0.0000007225 	 0.0060125948 	 0.0082088960 	 0.0103435479 	 0.1218316332
-0.0000007200 	 0.0068502226 	 0.0081039900 	 0.0093143396 	 0.1177174374
-0.0000007175 	 0.0063267052 	 0.0075794598 	 0.0062267128 	 0.1269743890
-0.0000007150 	 0.0065361122 	 0.0067402124 	 0.0093143396 	 0.1259458363
-0.0000007125 	 0.0065361122 	 0.0068451185 	 0.0051975045 	 0.1331456751
-0.0000007100 	 0.0071643326 	 0.0073696477 	 0.0103435479 	 0.1362313330
-0.0000007075 	 0.0068502226 	 0.0075794598 	 0.0093143396 	 0.1321171373
-0.0000007050 	 0.0062220017 	 0.0078941779 	 0.0072559211 	 0.1290314794
-0.0000007025 	 0.0070596291 	 0.0094677685 	 0.0082851313 	 0.1372598708
-0.0000007000 	 0.0065361122 	 0.0109364530 	 0.0072559211 	 0.1321171373
-0.0000006975 	 0.0066408156 	 0.0125100426 	 0.0062267128 	 0.1259458363
-0.0000006950 	 0.0067455191 	 0.0138738211 	 0.0031390861 	 0.1259458363
-0.0000006925 	 0.0074784430 	 0.0167062841 	 0.0041682944 	 0.1208030805
-0.0000006900 	 0.0069549256 	 0.0181749687 	 0.0051975045 	 0.1321171373
-0.0000006875 	 0.0068502226 	 0.0203779954 	 0.0113727581 	 0.1259458363
-0.0000006850 	 0.0067455191 	 0.0224761143 	 0.0051975045 	 0.1290314794
-0.0000006825 	 0.0072690360 	 0.0238398928 	 0.0072559211 	 0.1228601858
-0.0000006800 	 0.0066408156 	 0.0249938592 	 0.0072559211 	 0.1341742277
-0.0000006775 	 0.0069549256 	 0.0252036713 	 0.0082851313 	 0.1321171373
-0.0000006750 	 0.0068502226 	 0.0262527317 	 0.0082851313 	 0.1280029416
-0.0000006725 	 0.0069549256 	 0.0262527317 	 0.0041682944 	 0.1280029416
-0.0000006700 	 0.0066408156 	 0.0252036713 	 0.0072559211 	 0.1341742277
-0.0000006675 	 0.0067455191 	 0.0240497049 	 0.0082851313 	 0.1218316332
-0.0000006650 	 0.0065361122 	 0.0225810204 	 0.0113727581 	 0.1372598708
-0.0000006625 	 0.0061172983 	 0.0212172437 	 0.0051975045 	 0.1290314794
-0.0000006600 	 0.0059078913 	 0.0171259083 	 0.0072559211 	 0.1238887236
-0.0000006575 	 0.0064314087 	 0.0136640090 	 0.0031390861 	 0.1300600320
-0.0000006550 	 0.0063267052 	 0.0102021107 	 0.0103435479 	 0.1300600320
-0.0000006525 	 0.0056984844 	 0.0074745538 	 0.0093143396 	 0.1269743890
-0.0000006500 	 0.0065361122 	 0.0024390651 	 0.0031390861 	 0.1218316332
-0.0000006475 	 0.0062220017 	 -0.0009179276 	 0.0093143396 	 0.1300600320
-0.0000006450 	 0.0065361122 	 -0.0050092628 	 0.0051975045 	 0.1331456751
-0.0000006425 	 0.0058031878 	 -0.0089956913 	 0.0103435479 	 0.1300600320
-0.0000006400 	 0.0061172983 	 -0.0111987181 	 0.0082851313 	 0.1352027804
-0.0000006375 	 0.0059078913 	 -0.0142409932 	 0.0051975045 	 0.1352027804
-0.0000006350 	 0.0062220017 	 -0.0165489260 	 0.0041682944 	 0.1269743890
-0.0000006325 	 0.0060125948 	 -0.0182274207 	 0.0031390861 	 0.1300600320
-0.0000006300 	 0.0066408156 	 -0.0192764811 	 0.0124019664 	 0.1197745278
-0.0000006275 	 0.0065361122 	 -0.0202206355 	 0.0093143396 	 0.1290314794
-0.0000006250 	 0.0065361122 	 -0.0205353536 	 0.0041682944 	 0.1290314794
-0.0000006225 	 0.0064314087 	 -0.0212696958 	 0.0072559211 	 0.1280029416
-0.0000006200 	 0.0068502226 	 -0.0206402596 	 0.0093143396 	 0.1208030805
-0.0000006175 	 0.0066408156 	 -0.0202206355 	 0.0041682944 	 0.1290314794
-0.0000006150 	 0.0070596291 	 -0.0185421389 	 0.0010806676 	 0.1341742277
-0.0000006125 	 0.0074784430 	 -0.0173881743 	 0.0124019664 	 0.1362313330
-0.0000006100 	 0.0073737400 	 -0.0154998656 	 0.0072559211 	 0.1310885847
-0.0000006075 	 0.0070596291 	 -0.0147655234 	 0.0051975045 	 0.1290314794
-0.0000006050 	 0.0075831460 	 -0.0126674026 	 0.0062267128 	 0.1269743890
-0.0000006025 	 0.0074784430 	 -0.0117232483 	 0.0051975045 	 0.1352027804
-0.0000006000 	 0.0068502226 	 -0.0103594698 	 0.0041682944 	 0.1280029416
-0.0000005975 	 0.0070596291 	 -0.0094153155 	 0.0072559211 	 0.1259458363
-0.0000005950 	 0.0070596291 	 -0.0086809732 	 0.0103435479 	 0.1238887236
-0.0000005925 	 0.0070596291 	 -0.0082613491 	 0.0113727581 	 0.1197745278
-0.0000005900 	 0.0067455191 	 -0.0087858792 	 0.0113727581 	 0.1238887236
-0.0000005875 	 0.0067455191 	 -0.0085760672 	 0.0062267128 	 0.1300600320
-0.0000005850 	 0.0066408156 	 -0.0084711611 	 0.0051975045 	 0.1269743890
-0.0000005825 	 0.0065361122 	 -0.0087858792 	 0.0051975045 	 0.1269743890
-0.0000005800 	 0.0067455191 	 -0.0093104094 	 0.0093143396 	 0.1300600320
-0.0000005775 	 0.0073737400 	 -0.0108840000 	 0.0062267128 	 0.1424026191
-0.0000005750 	 0.0069549256 	 -0.0110938121 	 0.0103435479 	 0.1352027804
-0.0000005725 	 0.0069549256 	 -0.0118281543 	 0.0093143396 	 0.1352027804
-0.0000005700 	 0.0063267052 	 -0.0127723087 	 0.0103435479 	 0.1290314794
-0.0000005675 	 0.0067455191 	 -0.0129821207 	 0.0041682944 	 0.1269743890
-0.0000005650 	 0.0064314087 	 -0.0140311811 	 0.0072559211 	 0.1362313330
-0.0000005625 	 0.0071643326 	 -0.0127723087 	 0.0072559211 	 0.1259458363
-0.0000005600 	 0.0065361122 	 -0.0126674026 	 0.0010806676 	 0.1218316332
-0.0000005575 	 0.0066408156 	 -0.0111987181 	 0.0072559211 	 0.1208030805
-0.0000005550 	 0.0065361122 	 -0.0108840000 	 0.0031390861 	 0.1228601858
-0.0000005525 	 0.0064314087 	 -0.0094153155 	 0.0072559211 	 0.1290314794
-0.0000005500 	 0.0070596291 	 -0.0075270077 	 0.0041682944 	 0.1249172762
-0.0000005475 	 0.0069549256 	 -0.0049043568 	 0.0072559211 	 0.1269743890
-0.0000005450 	 0.0068502226 	 -0.0028062363 	 0.0041682944 	 0.1269743890
-0.0000005425 	 0.0070596291 	 -0.0001835856 	 0.0062267128 	 0.1321171373
-0.0000005400 	 0.0064314087 	 0.0026488770 	 0.0072559211 	 0.1382884234
-0.0000005375 	 0.0065361122 	 0.0057960581 	 0.0124019664 	 0.1321171373
-0.0000005350 	 0.0069549256 	 0.0083138021 	 0.0062267128 	 0.1321171373
-0.0000005325 	 0.0062220017 	 0.0105168289 	 0.0144603848 	 0.1259458363
-0.0000005300 	 0.0064314087 	 0.0135591030 	 0.0041682944 	 0.1280029416
-0.0000005275 	 0.0061172983 	 0.0151326936 	 0.0031390861 	 0.1269743890
-0.0000005250 	 0.0061172983 	 0.0169160962 	 0.0093143396 	 0.1228601858
-0.0000005225 	 0.0069549256 	 0.0184896868 	 0.0062267128 	 0.1269743890
-0.0000005200 	 0.0067455191 	 0.0190142170 	 0.0072559211 	 0.1218316332
-0.0000005175 	 0.0073737400 	 0.0183847807 	 0.0103435479 	 0.1249172762
-0.0000005150 	 0.0069549256 	 0.0182798747 	 0.0093143396 	 0.1341742277
-0.0000005125 	 0.0072690360 	 0.0167062841 	 0.0093143396 	 0.1228601858
-0.0000005100 	 0.0069549256 	 0.0158670358 	 0.0072559211 	 0.1331456751
-0.0000005075 	 0.0067455191 	 0.0137689151 	 0.0072559211 	 0.1280029416
-0.0000005050 	 0.0068502226 	 0.0110413590 	 0.0041682944 	 0.1269743890
-0.0000005025 	 0.0065361122 	 0.0083138021 	 0.0103435479 	 0.1280029416
-0.0000005000 	 0.0065361122 	 0.0057960581 	 0.0072559211 	 0.1310885847
-0.0000004975 	 0.0070596291 	 0.0024390651 	 0.0010806676 	 0.1218316332
-0.0000004950 	 0.0068502226 	 0.0001311325 	 0.0031390861 	 0.1280029416
-0.0000004925 	 0.0070596291 	 -0.0021768000 	 0.0072559211 	 0.1228601858
-0.0000004900 	 0.0067455191 	 -0.0044847326 	 0.0062267128 	 0.1321171373
-0.0000004875 	 0.0065361122 	 -0.0067926655 	 0.0051975045 	 0.1238887236
-0.0000004850 	 0.0065361122 	 -0.0089956913 	 0.0062267128 	 0.1310885847
-0.0000004825 	 0.0066408156 	 -0.0102545638 	 0.0041682944 	 0.1300600320
-0.0000004800 	 0.0067455191 	 -0.0103594698 	 0.0072559211 	 0.1300600320
-0.0000004775 	 0.0069549256 	 -0.0107790940 	 0.0113727581 	 0.1331456751
-0.0000004750 	 0.0061172983 	 -0.0104643758 	 0.0124019664 	 0.1321171373
-0.0000004725 	 0.0067455191 	 -0.0087858792 	 0.0093143396 	 0.1269743890
-0.0000004700 	 0.0065361122 	 -0.0085760672 	 0.0051975045 	 0.1290314794
